# Exported TensorBoard events
# Source: /Users/saharshgoenka/Documents/env-highway/CS269-Parking/logs/PPO_6/events.out.tfevents.1764220830.Mac.lan1.33455.0
# Exported: 2025-11-28T14:06:11.406006

## Scalars

[rollout/ep_len_mean]
step=516096	wall_time=2025-11-26T22:03:04.113971	value=14.619999885559082
step=518144	wall_time=2025-11-26T22:03:24.854487	value=14.680000305175781
step=520192	wall_time=2025-11-26T22:03:42.244026	value=14.930000305175781
step=522240	wall_time=2025-11-26T22:04:00.771848	value=14.4399995803833
step=524288	wall_time=2025-11-26T22:04:23.883885	value=14.670000076293945
step=526336	wall_time=2025-11-26T22:04:48.505308	value=14.630000114440918
step=528384	wall_time=2025-11-26T22:05:08.172316	value=14.65999984741211
step=530432	wall_time=2025-11-26T22:05:27.445327	value=14.670000076293945
step=532480	wall_time=2025-11-26T22:05:38.921103	value=14.539999961853027
step=534528	wall_time=2025-11-26T22:05:50.829753	value=14.569999694824219
step=536576	wall_time=2025-11-26T22:05:59.635368	value=14.699999809265137
step=538624	wall_time=2025-11-26T22:06:09.057553	value=14.710000038146973
step=540672	wall_time=2025-11-26T22:06:18.272713	value=14.819999694824219
step=542720	wall_time=2025-11-26T22:06:31.272069	value=14.649999618530273
step=544768	wall_time=2025-11-26T22:06:44.990306	value=14.739999771118164
step=546816	wall_time=2025-11-26T22:06:56.342731	value=14.670000076293945
step=548864	wall_time=2025-11-26T22:07:10.061554	value=14.489999771118164
step=550912	wall_time=2025-11-26T22:07:19.846666	value=14.770000457763672
step=552960	wall_time=2025-11-26T22:07:28.948861	value=14.670000076293945
step=555008	wall_time=2025-11-26T22:07:41.319083	value=14.680000305175781
step=557056	wall_time=2025-11-26T22:07:51.799520	value=14.770000457763672
step=559104	wall_time=2025-11-26T22:08:01.269744	value=14.789999961853027
step=561152	wall_time=2025-11-26T22:08:10.242065	value=14.699999809265137
step=563200	wall_time=2025-11-26T22:08:19.907674	value=14.859999656677246
step=565248	wall_time=2025-11-26T22:08:28.297986	value=14.609999656677246
step=567296	wall_time=2025-11-26T22:08:35.810611	value=14.640000343322754
step=569344	wall_time=2025-11-26T22:08:43.993295	value=14.569999694824219
step=571392	wall_time=2025-11-26T22:08:52.354086	value=14.619999885559082
step=573440	wall_time=2025-11-26T22:09:00.165843	value=14.869999885559082
step=575488	wall_time=2025-11-26T22:09:08.230477	value=14.649999618530273
step=577536	wall_time=2025-11-26T22:09:18.262015	value=14.930000305175781
step=579584	wall_time=2025-11-26T22:09:27.935378	value=14.630000114440918
step=581632	wall_time=2025-11-26T22:09:36.807414	value=14.609999656677246
step=583680	wall_time=2025-11-26T22:09:45.824157	value=14.4399995803833
step=585728	wall_time=2025-11-26T22:09:55.359706	value=14.579999923706055
step=587776	wall_time=2025-11-26T22:10:04.192653	value=14.600000381469727
step=589824	wall_time=2025-11-26T22:10:13.444608	value=14.5
step=591872	wall_time=2025-11-26T22:10:21.735738	value=14.600000381469727
step=593920	wall_time=2025-11-26T22:10:30.596366	value=14.579999923706055
step=595968	wall_time=2025-11-26T22:10:38.778782	value=14.529999732971191
step=598016	wall_time=2025-11-26T22:10:47.471882	value=14.579999923706055
step=600064	wall_time=2025-11-26T22:10:56.144138	value=14.699999809265137
step=602112	wall_time=2025-11-26T22:11:04.384185	value=14.5600004196167
step=604160	wall_time=2025-11-26T22:11:13.208084	value=14.579999923706055
step=606208	wall_time=2025-11-26T22:11:21.332247	value=14.649999618530273
step=608256	wall_time=2025-11-26T22:11:29.386106	value=14.710000038146973
step=610304	wall_time=2025-11-26T22:11:37.667013	value=14.489999771118164
step=612352	wall_time=2025-11-26T22:11:46.335992	value=14.609999656677246
step=614400	wall_time=2025-11-26T22:11:55.425980	value=14.59000015258789
step=616448	wall_time=2025-11-26T22:12:03.780306	value=14.579999923706055
step=618496	wall_time=2025-11-26T22:12:13.130504	value=14.770000457763672
step=620544	wall_time=2025-11-26T22:12:21.384196	value=14.670000076293945
step=622592	wall_time=2025-11-26T22:12:30.335432	value=14.539999961853027
step=624640	wall_time=2025-11-26T22:12:40.549824	value=14.5
step=626688	wall_time=2025-11-26T22:12:51.606074	value=14.489999771118164
step=628736	wall_time=2025-11-26T22:13:02.342966	value=14.869999885559082
step=630784	wall_time=2025-11-26T22:13:13.396437	value=14.609999656677246
step=632832	wall_time=2025-11-26T22:13:25.413268	value=14.670000076293945
step=634880	wall_time=2025-11-26T22:13:34.473488	value=14.600000381469727
step=636928	wall_time=2025-11-26T22:13:42.979879	value=14.729999542236328
step=638976	wall_time=2025-11-26T22:13:52.158648	value=14.760000228881836
step=641024	wall_time=2025-11-26T22:14:00.312263	value=14.770000457763672
step=643072	wall_time=2025-11-26T22:14:08.819494	value=14.640000343322754
step=645120	wall_time=2025-11-26T22:14:19.718379	value=14.539999961853027
step=647168	wall_time=2025-11-26T22:14:28.899929	value=14.65999984741211
step=649216	wall_time=2025-11-26T22:14:37.152545	value=14.520000457763672
step=651264	wall_time=2025-11-26T22:14:45.779791	value=14.649999618530273
step=653312	wall_time=2025-11-26T22:14:54.380979	value=14.539999961853027
step=655360	wall_time=2025-11-26T22:15:02.415409	value=14.800000190734863
step=657408	wall_time=2025-11-26T22:15:11.171829	value=14.760000228881836
step=659456	wall_time=2025-11-26T22:15:20.645322	value=14.470000267028809
step=661504	wall_time=2025-11-26T22:15:29.388219	value=14.75
step=663552	wall_time=2025-11-26T22:15:37.393745	value=14.539999961853027
step=665600	wall_time=2025-11-26T22:15:46.320767	value=14.5
step=667648	wall_time=2025-11-26T22:15:55.043525	value=14.460000038146973
step=669696	wall_time=2025-11-26T22:16:03.123755	value=14.630000114440918
step=671744	wall_time=2025-11-26T22:16:12.219922	value=14.6899995803833
step=673792	wall_time=2025-11-26T22:16:20.605479	value=14.670000076293945
step=675840	wall_time=2025-11-26T22:16:31.335403	value=14.529999732971191
step=677888	wall_time=2025-11-26T22:16:40.157880	value=14.739999771118164
step=679936	wall_time=2025-11-26T22:16:50.641380	value=14.59000015258789
step=681984	wall_time=2025-11-26T22:16:59.111412	value=14.8100004196167
step=684032	wall_time=2025-11-26T22:17:07.003350	value=14.760000228881836
step=686080	wall_time=2025-11-26T22:17:15.873019	value=14.680000305175781
step=688128	wall_time=2025-11-26T22:17:23.928634	value=14.90999984741211
step=690176	wall_time=2025-11-26T22:17:33.176620	value=14.829999923706055
step=692224	wall_time=2025-11-26T22:17:42.135033	value=14.680000305175781
step=694272	wall_time=2025-11-26T22:17:53.314360	value=14.619999885559082
